company,year,text,be,ce
Apple,2007,"The Company is committed to bringing the best experience to consumers through its innovative hardware, software, peripherals, services, and Internet offerings. ",60,33
Apple,2007,"The Company's business strategy leverages its unique ability to design and develop its own operating system, hardware, application software, and services to provide its customers new products and solutions with superior ease-of-use, seamless integration, and innovative industrial design. ",87,33
Apple,2007,The Company believes continual investment in research and development is critical to the development and enhancement of innovative products and technologies. ,87,0
Apple,2007,"the Company continues to capitalize on the convergence of the personal computer, digital consumer electronics and mobile communications by creating and refining innovations, ",20,0
Apple,2007,The Company's strategy also includes expanding its distribution network ,20,20
Apple,2007,The Company is the only participant in the personal computer industry that controls the design and development of the entire personal computer,20,0
Apple,2007,"along with its products' creative industrial designs, intuitive ease-of-use, and built-in graphics, multimedia and networking capabilities, positions the Company to offer innovative integrated digital lifestyle solutions. ",60,0
Apple,2007,The Company believes providing direct contact with its targeted customers is an efficient way to demonstrate the advantages of its products,33,87
Apple,2007,The Company's strategy also includes... provide them with a high-quality sales and post-sales support experience. ,0,87
Apple,2007,The Company believes a high-quality buying experience with knowledgeable salespersons greatly enhances its ability to attract and retain customers,33,100
Apple,2007,"The Company has also invested in programs to enhance reseller sales, ",7,7
Apple,2007,"the Company had opened a total of 197 of its own retail stores, ",20,0
Apple,2007,expand the Company's installed base through sales to customers who currently do not already own the Company's products. ,7,40
Apple,2007,"By operating its own stores and locating them in desirable high−traffic locations, the Company is better positioned to control the customer buying experience and attract new customers",7,100
Apple,2007,the Company is better positioned to  attract new customers,0,40
Apple,2007,The stores are designed to simplify and enhance the presentation and marketing of the Company's products and related solutions. ,33,0
Apple,2007,The stores employ experienced and knowledgeable personnel who provide product advice and certain support services. ,7,100
Apple,2007,"The stores offer a wide selection of third-party hardware, software, and various other accessory products and peripherals selected to complement the Company's own products.",20,0
Apple,2007,The Company has designed a range of products and services to address the needs of education customers ,13,60
Apple,2007,customers utilize the Company's products for a variety of activities ,7,7
Apple,2007,The Company offers a range of products ,13,0
Apple,2007,the Company updated its models ,20,0
Apple,2007,"The Mac Pro desktop computer is targeted at business and professional users and is designed to meet the performance, expansion, and networking needs of the most demanding Mac user. ",60,20
Apple,2007,an intuitive new feature used to create groups of applications and instantly switch between them ,13,0
Apple,2007,AppleCare® offers a range of support options for the Company's customers ,33,100
Apple,2007,The Company believes it currently retains a competitive advantage by offering superior innovation and integration of the entire solution ,87,0
Apple,2007,The Company continues to develop new products and technologies and to enhance existing products ,60,0
Apple,2007,The Company may expand the range of its product offerings and intellectual property through licensing and/or acquisition of third-party business and technology. ,60,0
Apple,2007,"the Company has registered, and/or has applied to register, trademarks and service marks in the U.S. and a number of foreign countries ",60,0
Apple,2007,The Company currently holds rights to patents and copyrights,60,0
Apple,2007,the Company must make significant investments in research and development. ,87,0
Apple,2007,The Company's ability to compete successfully depends heavily on its ability to ensure a continuing and timely introduction of new innovative products ,60,7
Apple,2007,ability to continually develop improvements to maintain perceived design and functional advantages,60,7
Apple,2007,"The success of new product introductions depends on a number of factors, including timely and successful completion of development efforts ",60,0
Apple,2007,This uniquely positions the Company to offer innovative integrated  solutions.,87,0
Apple,2007,"bring to its customers around the world compelling new products and solutions with superior ease-of-use, seamless integration, and innovative industrial design. ",60,20
Apple,2007,the Company is widely recognized as a leading innovator in the personal computer and consumer electronics markets as well as a leader in the emerging market for distribution of digital content ,87,0
Apple,2007,"The Company believes that increased investment in research and development (""R&D"") and marketing and advertising is necessary to maintain or expand its position in the markets where it competes ",87,0
Apple,2007,"The Company's R&D spending is focused on further developing its existing line, developing new applications and investing in new product areas ",87,0
Apple,2007,The Company also believes increased investment in marketing and advertising programs is critical to increasing product and brand awareness.,100,0
Apple,2007,The Company utilizes a variety of direct and indirect distribution channels.,7,13
Apple,2007,The Company believes that sales of its innovative and differentiated products are enhanced by knowledgeable salespersons who can convey the value and demonstrate the unique solutions that are available on its products.,60,60
Apple,2007,The Company further believes providing a high-quality sales and after-sales support experience is critical to attracting and retaining customers. ,7,100
Apple,2007,"To ensure a high-quality buying experience for its products in which service and education are emphasized, the Company has expanded and improved its distribution capabilities ",20,100
Apple,2007,The Company also staffs selected third-party stores with the Company's own employees to improve the buying experience through reseller channels ,0,60
Apple,2007,the Company has significantly expanded the number of distribution points ,7,0
Apple,2007,"The Company records reductions to revenue for estimated commitments related to price protection and for customer incentive programs, including reseller and end-user rebates, and other sales programs and volume-based incentives ",0,60
Apple,2007,"These high-profile stores are larger than the Company's typical retail stores and were designed to further promote brand awareness and provide a venue for certain corporate sales and marketing activities, including corporate briefings ",100,0
Apple,2007,"The stores employ experienced and knowledgeable personnel who provide product advice, service and training",7,100
Apple,2010,"The Company is committed to bringing the best user experience to its customers through its innovative hardware, software, peripherals, services, and Internet offerings",60,47
